id;media;vendas_2025;estoque
8826;0.17;1.0;8.0
1426;11.5;70.0;158.0
8463;3.75;33.0;6.0
8490;0.75;5.0;33.0
8482;4.25;32.0;11.0
8491;0.42;4.0;19.0
8483;1.75;18.0;1.0
8492;0.75;6.0;2.0
8001;1.5;8.0;19.0
8002;0.42;1.0;17.0
8348;0.0;0.0;2.0
1403;0.0;0.0;0.0
8120;0.17;2.0;0.0
8003;0.0;0.0;1.0
8424;0.0;0.0;4.0
8426;0.0;0.0;4.0
8425;0.0;0.0;4.0
1844;6.08;45.0;40.0
1835;0.75;7.0;47.0
1831;3.58;23.0;37.0
1842;0.0;0.0;62.0
1840;0.25;2.0;5.0
1839;0.42;4.0;31.0
1841;2.08;16.0;3.0
1843;10.17;58.0;88.0
1832;8.17;60.0;73.0
1836;0.92;10.0;28.0
1845;0.33;4.0;5.0
1837;0.17;2.0;4.0
1834;0.0;0.0;43.0
8196;190.25;1096.0;860.0
1556;0.0;0.0;0.0
8243;0.0;0.0;5.0
1541;0.0;0.0;5.0
1543;0.0;0.0;0.0
8195;4.5;36.0;732.0
8909;0.0;0.0;4.0
8916;0.25;3.0;3.0
8912;0.0;0.0;9.0
8913;0.0;0.0;4.0
8947;0.0;0.0;6.0
8946;0.25;3.0;18.0
8910;0.08;1.0;5.0
8945;0.0;0.0;10.0
8944;0.08;1.0;3.0
8915;0.0;0.0;2.0
8914;0.0;0.0;2.0
8935;0.0;0.0;1.0
8919;0.25;3.0;9.0
8918;0.0;0.0;6.0
8920;0.0;0.0;3.0
8948;3.92;47.0;3.0
8923;0.0;0.0;2.0
8942;0.17;2.0;1.0
8941;0.08;1.0;2.0
8943;0.25;3.0;3.0
8906;0.0;0.0;3.0
8905;0.0;0.0;2.0
8908;0.0;0.0;3.0
8907;0.0;0.0;0.0
